n_features,features,cv_r2_mean,cv_r2_std,cv_rmse_mean,cv_rmse_std
5,"min_temp_f, mean_temp_f, mean_humidity_pct, days_since_rain, days_since_irrigation",0.8429094692272034,0.01639510046652593,0.03400281857960149,0.001589634694454411
4,"min_temp_f, mean_temp_f, mean_humidity_pct, day_of_year",0.8428832919117042,0.017747259461387548,0.03399460437696659,0.0017165474014377896
5,"min_temp_f, mean_temp_f, mean_humidity_pct, precip_3day_sum_in, days_since_rain",0.8428382344307177,0.01749867028178713,0.03400171051743584,0.0017046958914814702
4,"min_temp_f, mean_temp_f, mean_humidity_pct, month",0.8427967557339298,0.01744292953694531,0.03400646138102749,0.0016781624936241316
4,"max_temp_f, mean_humidity_pct, precip_in, previous_irrigation_amount",0.8427545847267645,0.016641869604667063,0.03402052559403662,0.001602765191394316
5,"min_temp_f, mean_temp_f, mean_humidity_pct, temp_3day_avg_f, day_of_year",0.8426841611068138,0.017800933989290914,0.03401592484337889,0.001723847957257154
5,"max_temp_f, mean_humidity_pct, precip_in, wind_3day_avg_mph, previous_irrigation_amount",0.8426150512386746,0.016654917483897577,0.03403558817583617,0.0016072441496023614
5,"max_temp_f, min_temp_f, mean_temp_f, mean_humidity_pct, day_of_year",0.8426121810775123,0.017810359418456774,0.034023664734123604,0.001724265830274947
5,"min_temp_f, mean_temp_f, mean_humidity_pct, temp_3day_avg_f, month",0.8425932612069553,0.017500866579289252,0.03402822236709519,0.0016860315366268375
5,"max_temp_f, mean_humidity_pct, precip_in, avg_wind_mph, previous_irrigation_amount",0.8425847402834383,0.016641644623326943,0.03403898434542897,0.0016051195057219447
5,"min_temp_f, mean_temp_f, mean_humidity_pct, day_of_year, month",0.8425296945296428,0.017352664630266974,0.03403629416462765,0.0016661659311799173
5,"max_temp_f, min_temp_f, mean_temp_f, mean_humidity_pct, month",0.8425207125842313,0.017509692890697922,0.034036025020593906,0.0016864087749320748
5,"max_temp_f, mean_humidity_pct, precip_in, previous_irrigation_amount, days_since_irrigation",0.842478272309535,0.016854954775169285,0.03404924753024574,0.0016252451573055473
5,"min_temp_f, mean_temp_f, mean_humidity_pct, temp_5day_avg_f, day_of_year",0.8424347370913476,0.01787041998920555,0.03404262411718821,0.0017340733368589756
5,"min_temp_f, mean_temp_f, mean_humidity_pct, temp_5day_avg_f, month",0.8423482759487104,0.017573090638870064,0.03405441196816279,0.001696609655168103
5,"min_temp_f, mean_temp_f, mean_humidity_pct, max_wind_mph, days_since_rain",0.8421214523975902,0.018398022253852016,0.03407304157765483,0.001824313954201634
5,"min_temp_f, mean_temp_f, mean_humidity_pct, precip_3day_sum_in, days_since_irrigation",0.84209261695912,0.017511200099693525,0.03408290689789303,0.0017056225661316658
5,"min_temp_f, mean_temp_f, mean_humidity_pct, avg_wind_mph, max_wind_mph",0.841778274906221,0.018755716785761756,0.03410739170095742,0.0018610838856471929
5,"min_temp_f, mean_temp_f, mean_humidity_pct, precip_3day_sum_in, precip_5day_sum_in",0.8415344932753808,0.01869864489485891,0.03413374980783862,0.0018346310692031302
5,"min_temp_f, mean_temp_f, mean_humidity_pct, avg_wind_mph, precip_3day_sum_in",0.841355100976789,0.01836440650294164,0.034156131235735354,0.0017987310110325258
5,"min_temp_f, mean_temp_f, mean_humidity_pct, precip_3day_sum_in, wind_3day_avg_mph",0.8412926704668754,0.01831804561790541,0.03416331550681379,0.001793930603020937
5,"min_temp_f, mean_temp_f, mean_humidity_pct, wind_3day_avg_mph, days_since_irrigation",0.8412608648213539,0.01731536486053931,0.0341751490718065,0.0016900290314756225
5,"min_temp_f, mean_temp_f, mean_humidity_pct, avg_wind_mph, days_since_irrigation",0.8411938256373481,0.017368627434305554,0.03418195499343542,0.0016934004584489872
4,"min_temp_f, mean_temp_f, mean_humidity_pct, precip_3day_sum_in",0.841145657071024,0.018283860253158663,0.03417943293681881,0.001781322927771705
5,"min_temp_f, mean_temp_f, mean_humidity_pct, max_wind_mph, precip_5day_sum_in",0.8410129448011482,0.018428672715668715,0.03419319030627643,0.001818354224641844
5,"min_temp_f, mean_temp_f, mean_humidity_pct, temp_3day_avg_f, precip_3day_sum_in",0.8409932266430594,0.018344554143773062,0.03419548374222239,0.0017876515462487358
5,"min_temp_f, mean_temp_f, mean_humidity_pct, max_wind_mph, temp_3day_avg_f",0.840956145039307,0.018960325797053913,0.034194759436028475,0.0018761421510500224
5,"min_temp_f, mean_temp_f, mean_humidity_pct, precip_5day_sum_in, days_since_irrigation",0.8408736677648839,0.01710539555372961,0.0342185680572108,0.0016549107957037463
4,"min_temp_f, mean_temp_f, mean_humidity_pct, days_since_irrigation",0.8408636065613428,0.01717681125003095,0.03421910140198893,0.0016625877435875653
5,"max_temp_f, min_temp_f, mean_temp_f, mean_humidity_pct, precip_3day_sum_in",0.8408568843782085,0.018393230125769967,0.03420991754238288,0.0017965966585888667
5,"min_temp_f, mean_temp_f, days_since_rain, previous_irrigation_amount, days_since_irrigation",0.8407833666107104,0.010524340391600415,0.034269777676525316,0.0008855359164379256
5,"min_temp_f, mean_temp_f, mean_humidity_pct, temp_3day_avg_f, days_since_irrigation",0.8407648421838637,0.01724104268248839,0.03422928009009833,0.0016683484456061419
